product_description,rating_score,number_of_global_rating,current_price,original_price,display_size,disk_size,ram,operating_system
"HP Newest Flagship 14"" HD Business Laptop Computer, 4-Core i5-1135G7(Up to 4.2GHz, Beat i7-1060G7), 16GB RAM, 512GB PCIe SSD, Iris Xe Graphics, Webcam, WiFi, Bluetooth, Win 11 Home, w/GM Accessories",4.4 ,303,569.00,,14 inches,512 GB,16 GB,Windows 11 Home
"Lenovo ThinkPad L380 Yoga 2-in-1 Laptop, 13.3"" FHD Touchscreen, Intel Core i5-8250U, 16GB RAM, 256GB SSD, Fingerprint Reader, Backlit Keyboard, Stylus Pen, Windows 10 Pro (Renewed)",3.3 ,9,285.90,299.50,13.3 inches,-,-,Windows 10 Pro
"Tulasi Laptop Computer, 2023 Laptop, Windows 11 Laptop 12GB RAM 256GB NVMe SSD Intel 4-Cores N5095 Laptops 14 inch 1080P IPS Display, WiFi 5, Bluetooth, USB Type C, Webcam",4.0 ,19,319.00,,14 inches,256 GB,12.0 GB,Windows 11 Pro
"ECOHERO Windows 11 Laptop, 15.6 inches FHD(1920 x 1080) IPS Display, Intel Core i3-5005U, 12GB RAM and 512GB SSD Laptop Computer, 2.4G/5G WiFi, BT5.0 and RJ45, Full Functional Type C, Space Gray",4.3 ,112,349.00,,15.6 inches,512 GB,12.0 GB,Windows 11 Pro
Dell Chromebook 3120 Laptop Computer Intel Dual Core 4GB RAM 16GB SSD WiFi HDMI (Renewed),3.8 ,37,42.00,54.99,11 inches,-,4.0 GB,Chrome OS
"HP 2023 15” 2-in-1 Convertible FHD IPS Touchscreen Laptop, AMD 8-Core Ryzen 7-5700U Processor Up to 4.30GHz, 12GB Ram, 512GB SSD, HDMI, Super-Fast 6th Gen WiFi, Windows 11(Renewed)",5.0 ,2,509.99,,15 inches,512 GB,12 GB,Windows 11
"SGIN 17"" Laptop, 8GB RAM 256GB SSD Notebook, 17 Inch Laptops with IPS Full HD, Intel Celeron N4020(Up to 2.8GHz), Mini HDMI, Webcam, Dual Wi-Fi, Windows 11 Home, Expandable Storage 512GB TF(Gray)",5.0 ,2,399.99,1499.99,17.3 inches,256 GB,-,-
"Lenovo IdeaPad 1 14” HD Laptop, Intel Pentium Silver N5030, 4GB RAM, 128GB SSD, Windows 11 Home S Mode, Office 365 1 Year Included",4.0 ,20,176.90,,14 inches,128 GB,-,Windows 11 S
"HP 2023 17"" FHD IPS Laptop, Windows 11, Intel Quad-Core i5-1135G7 Processor Up to 4.2GHz, 8GB RAM, 512GB SSD, Super-Fast WiFi Speed(Renewed)",,,409.99,,17 inches,512 GB,8 GB,Windows 11
"Lenovo 2022 IdeaPad 1 15.6"" FHD Laptop, Intel Pentium Silver N6000 Processor, 20GB RAM, 1TB PCIe SSD, 720P HD Webcam, Dolby Audio, 1 Year Office, Blue, Win 11, 32GB Snowbell USB Card",5.0 ,4,369.00,,15.6 inches,1 TB,20 GB,Windows 11
"HP Newest Flagship 15.6 HD Touchscreen IPS Laptop, 4-Core i5-1135G7(Up to 4.2GHz, Beat i7-1060G7), 16GB RAM, 1TBGB PCIe SSD, Iris Xe Graphics, Bluetooth, WiFi, Windows 11 Home S,w/GM Accessories",4.3 ,183,669.00,,15.6 inches,1 TB,16.0 GB,Windows 11 Home
"ASUS VivoBook 14 Slim Laptop Computer, 14"" IPS FHD Display, Intel Core i3-1115G4 Processor, 4GB DDR4, 128GB PCIe SSD, Fingerprint Reader, Windows 11 Home in S Mode, Slate Grey, F415EA-AS31",4.3 ,1600,240.00,,14 inches,128 GB,4 GB,Windows 11 Home
"HP 2023 Newest 15 inch Laptop, Intel Quad-Core Processor, 8GB RAM, 256GB SSD, Wi-Fi, Bluetooth, HDMI, Windows 11 Home, Bundle with JAWFOAL",4.2 ,38,389.99,,15 inches,256 GB,8.0 GB,Windows 11 Home
"BiTECOOL 14-inch Windows 11 Laptop, 12GB RAM, 256GB NVMe SSD, up to 2100MB/S, FHD IPS Display, Intel Celeron N5095 Quad Core, 5G WiFi, BT4.2, Type C and Camera Cover, Lightweight and Portable",4.4 ,92,299.00,319.00,14 inches,256 GB,12.0 GB,Windows 11 Pro
"Acer Aspire 5 15.6 FHD Notebook Laptop, Intel Core i7-1165G7 Processor, 32GB RAM, 1TB PCIe SSD, Webcam, Backlit Keyboard, Fingerprint Reader, Wi-Fi 6, Windows 11 Home, Black",4.5 ,117,799.00,,15.6 inches,2 TB,32 GB,Windows 11 Home
"Microsoft Surface Laptop Go 12.4in Touchscreen PC, Intel Quad-Core i5-1035G1, 4GB RAM, 64GB eMMC, Webcam, Win 10 Pro, Bluetooth, Online Class Ready - Platinum",4.3 ,368,236.94,264.95,12.4 inches,64 GB,64.0 GB,Windows 10 Pro
"Acer Nitro 5 AN517-54-79L1 Gaming Laptop | Intel Core i7-11800H | NVIDIA GeForce RTX 3050Ti GPU | 17.3"" FHD 144Hz IPS Display | 16GB DDR4 | 1TB NVMe SSD | Killer Wi-Fi 6 | Backlit KB | Win 11",4.4 ,2321,1399.99,,17.3 inches,1000 GB,16 GB,Windows 11 Home
"Lenovo IdeaPad 3 Laptop Computer, 17.3"" FHD Screen, AMD Ryzen 5 5625U Processor, 16GB RAM, 1TB SSD, Media Card Reader, HDMI, HD Camera, Wi-Fi 6, Fingerprint Reader, Windows 11 Home",5.0 ,5,539.00,588.00,17.3 inches,1 TB,16 GB,Windows 11 Home
"HP Newest 14 FHD Laptop for Business and Students Essential, 16GB RAM, 1TB PCIe SSD, AMD Ryzen Dual-Core Processor, Webcam, HDMI, WiFi, Fast Charge, Long Battery Life, Win 11 Home, GM Accessories",4.3 ,805,469.00,,14 inches,1 TB,16 GB,Windows 11 S
"ASUS Vivobook Go 15 L510 Thin & Light Laptop Computer, 15.6” FHD Display, Intel Celeron N4020 Processor, 4GB RAM, 64GB Storage, Windows 11 Home in S Mode, 1 Year Microsoft 365, Star Black, L510MA-AS02",4.1 ,675,189.99,204.90,15.6 inches,64 GB,4 GB,Windows 11 S
"HP15.6 Inch Laptop, Intel Iris Xe Graphics, 12th Generation Intel Core Processor, 8 GB RAM, 256 GB SSD, Diagonal Full HD Display, Windows 11 Home, Dual Array Microphones, Wi-Fi 6 (15-dy5024nr, 2022)",4.3 ,80,429.99,514.94,15 inches,256 GB,8.0 GB,Windows 11 Home
"Dell Latitude E6420 14.1-Inch Laptop (Intel Core i5 2.5GHz with 3.2G Turbo Frequency, 4G RAM, 128G SSD, Windows 10 Professional 64-bit) (Renewed)",3.9 ,412,179.00,190.76,14.1 inches,128 GB,4 GB,Windows 10;
"OTVOC Laptop 15.6 inch Windows 11, VocBook 15, Intel Celeron N5100, 16GB RAM, 512GB PCIE NvMe SSD, 4TB Expansion, 15.6"" FHD IPS, 2.0MP, 2.4G+5G WiFi, Bluetooth 5.0, Type-C, HDMI, RJ45, HDD, Silver",4.6 ,164,399.99,,15.60 inches,512 GB,16.0 GB,Windows 11 Home
"BiTECOOL Windows 11 Laptop, 15.6 inches Full HD IPS Display, Intel Celeron N4120 Quad Core, 12GB RAM and 256GB SSD Laptop Computer, 2.4/5G WiFi, BT4.2, Full Size Keyboard and Ultra Slim",3.7 ,11,319.00,339.00,15.6 inches,256 GB,12.0 GB,Windows 11
"Tulasi Laptop Computer, 2023 Laptop, Windows 11 Laptop 12GB RAM 256GB NVMe SSD Intel 4-Cores N5095 Laptops 14 inch 1080P IPS Display, WiFi 5, Bluetooth, USB Type C, Webcam",4.0 ,19,319.00,,14 inches,256 GB,12.0 GB,Windows 11 Pro
"BiTECOOL Windows 11 Laptop, 15.6 inches Full HD IPS Display, Intel Celeron N4120 Quad Core, 12GB RAM and 256GB SSD Laptop Computer, 2.4/5G WiFi, BT4.2, Full Size Keyboard and Ultra Slim",3.7 ,11,319.00,339.00,15.6 inches,256 GB,12.0 GB,Windows 11
"Dell 2022 Newest Inspiron 15 3511 Laptop, 15.6"" FHD Touchscreen, Intel Core i5-1035G1, 32GB RAM, 1TB PCIe NVMe M.2 SSD, SD Card Reader, Webcam, HDMI, WiFi, Windows 11 Home, Black",4.3 ,279,587.00,,15.6 inches,1 TB,32 GB,Windows 11
"HP 15 Laptop, 15.6"" HD Screen, Intel Pentium Silver N5030 Processor, 16GB RAM, 512GB SATA SSD, Webcam, Media Card Reader, RJ45, HDMI, Wi-Fi, Windows 11 Home, Scarlet Red",4.7 ,129,419.00,,15.6 inches,512 GB,16 GB,Windows 11 Home
"HP 14 Laptop, AMD Ryzen 5 5500U, 8 GB RAM, 256 GB SSD Storage, 14-inch Full HD Display, Windows 11 Home, Thin & Portable, Micro-edge & Anti-glare Screen, Long Battery Life (14-fq1025nr, 2021)",4.4 ,1134,409.00,,14 inches,256 GB,8 GB,Windows 11 Home
"HP Pavilion 15 Laptop, 15.6"" HD Touchscreen, Intel Core i5-1135G7 Processor, 64GB Memory, 1TB SSD, USB-C, HDMI, Windows 11 Home, Silver, JVQ MP",,,777.77,,15.6 inches,1 TB,64 GB,Windows 11 Home
"Lenovo Thinkpad Yoga 11e Laptop 11.6inch Touchscreen Convertible Ultrabook PC, Intel Quad Core Processor, 128GB Solid State Drive, 4GB DDR3 RAM, HD Webcam, LED, HDMI, Bluetooth, Windows 10 (Renewed)",4.0 ,922,129.99,,11.6 inches,128 GB,4 GB,Windows 10 Home
"Microsoft Surface Laptop Go 2-12.4"" Touchscreen - Intel Core i5 8GB Memory - 128 SSD - Sandstone (Latest Model)",4.5 ,124,584.20,699.99,12.45 inches,128 GB,8 GB,Windows 11 Home
"WAICID Laptop 15.6 Inch, 512GB SSD 12GB DDR4, Intel Celeron N5095(4M Cache, up to 2.9 GHz), Windows 11 Laptops Computer with USB Type-C, IPS FHD 1080P Display, 5G/2.4Ghz WiFi, 2*USB 3.0, Bluetooth 4.2",5.0 ,1,359.99,1299.99,15.6 inches,512 GB,12 GB,Windows 11 Home
"HP Newest 17.3 FHD IPS Micro-Edge Laptop, AMD Ryzen 5 5500U 6-core(Beat Intel i5-1135G7), 16GB DDR4 RAM, 1TB NVMe SSD, WiFi, Bluetooth, Numpad, HDMI, Fast Charge, Webcam, Win11, Fauqibey HDMI Cable",5.0 ,9,669.00,,17.3 inches,1 TB,-,Windows 11 Home
"BiTECOOL 14-inch Windows 11 Laptop, 12GB RAM, 256GB NVMe SSD, up to 2100MB/S, FHD IPS Display, Intel Celeron N5095 Quad Core, 5G WiFi, BT4.2, Type C and Camera Cover, Lightweight and Portable",4.4 ,92,299.00,319.00,14 inches,256 GB,12.0 GB,Windows 11 Pro
"Lenovo 15.6"" IdeaPad 1 Laptop, 20GB Memory, 1TB SSD Storage, Intel Pentium Processor (4-cores, 3.3GHz), 15.6"" Anti-glare Display, Wi-Fi 6 and Bluetooth, HDMI, Type-C, 1 Year Office 365,Windows 11 Home",4.3 ,69,394.87,,15.6 inches,1 TB,20 GB,Windows 11
Dell Chromebook 11 3180 11.6-Inch 4GB | 16GB SSD Traditional Laptop (Black) (Renewed),3.6 ,73,48.50,69.99,11.6 inches,16 GB,-,Chrome OS
"Acer Aspire 1 A115-32-C96U Slim Laptop | 15.6"" Full HD Display | Intel Celeron N4500 Processor | 4GB DDR4 | 128GB eMMC | WiFi 5 | Microsoft 365 Personal 1-Year Subscription | Windows 11 Home in S mode",4.2 ,1018,229.99,,15.6 inches,-,4.0 GB,Windows 11 S
"HP Victus 15.6"" Gaming Laptop PC, NVIDIA GeForce RTX 3050 Ti, AMD Ryzen 7 5800H, Refined 1080p IPS Display, Compact Design, All-in-One Keyboard with Enlarged Touchpad, HD Webcam (15-fb0028nr, 2022)",4.5 ,337,865.00,1099.99,15.6 inches,4 GB,16 GB,Windows 11 Home
"Lenovo Flex 3 Chromebook 2-in-1 11.6"" HD (1366 x 768) Touchscreen Laptop (4-Core MediaTek MT8173C, 4GB RAM, 128GB (64GB eMMC+64GB SD Card)) flip-and-fold, Type-C, Webcam, Chrome OS",4.6 ,142,229.98,,11.6 inches,32 GB,4 GB,Chrome OS
"ASUS Newest Zenbook 14"" 2.8K (2880 x 1800) 90Hz OLED Laptop, 12th Gen Core i5-1240P Processor (Beats i7-1185G7), Backlit Keyboard, Fingerprint Reader, Harman Kardon, Win 11 (8GB RAM | 1TB PCIe SSD)",5.0 ,9,775.99,,14 inches,1 TB,8.0 GB,Windows 11
"ASUS Notebook E210 11.6” Ultra Thin, Intel Celeron N4020 Processor, 4GB RAM, 64GB eMMC Storage, Windows 10 Home in S Mode with One Year of Office 365 Personal, E210MA-DB02,Star Black",4.2 ,580,171.00,,11.6 inches,64 GB,4 GB,Windows 10 Home
"Ruzava Windows 10 Laptop Computers, 14"" 6GB RAM 128GB SSD Support 1TB SSD Expansion, 1920x1080 FHD Traditional Laptop for Work Study Entertainment-Gold",4.1 ,14,269.99,,14 inches,128 GB,6.00 GB,Windows 10
"Dell Newest Inspiron 15 3511 Laptop, 15.6"" FHD Touchscreen, Intel Core i5-1035G1, 12GB RAM, 256GB PCIe NVMe M.2 SSD, SD Card Reader, Webcam, HDMI, WiFi, Windows 11 Home, Black",4.3 ,97,465.00,,15.6 inches,256 GB,12 GB,Windows 11
"Lenovo ThinkPad L380 Yoga 2-in-1 Laptop, 13.3"" FHD Touchscreen, Intel Core i5-8250U, 16GB RAM, 256GB SSD, Fingerprint Reader, Backlit Keyboard, Stylus Pen, Windows 10 Pro (Renewed)",3.3 ,9,285.90,299.50,13.3 inches,-,-,Windows 10 Pro
"HP Newest Flagship 15.6 HD Touchscreen IPS Laptop, 4-Core i5-1135G7(Up to 4.2GHz, Beat i7-1060G7), 16GB RAM, 1TBGB PCIe SSD, Iris Xe Graphics, Bluetooth, WiFi, Windows 11 Home S,w/GM Accessories",4.3 ,183,669.00,,15.6 inches,1 TB,16.0 GB,Windows 11 Home
"Tulasi Laptop Computer, 2023 Laptop, Windows 11 Laptop 12GB RAM 256GB NVMe SSD Intel 4-Cores N5095 Laptops 14 inch 1080P IPS Display, WiFi 5, Bluetooth, USB Type C, Webcam",4.0 ,19,319.00,,14 inches,256 GB,12.0 GB,Windows 11 Pro
"ECOHERO Windows 11 Laptop, 15.6 inches FHD(1920 x 1080) IPS Display, Intel Core i3-5005U, 12GB RAM and 512GB SSD Laptop Computer, 2.4G/5G WiFi, BT5.0 and RJ45, Full Functional Type C, Space Gray",4.3 ,112,349.00,,15.6 inches,512 GB,12.0 GB,Windows 11 Pro
"Lenovo 2022 Legion 5 15.6"" 120Hz Gaming Laptop, AMD Ryzen 5 5600H, 32GB RAM, 1TB PCIe SSD, NVIDIA GeForce RTX 3050Ti, Backlit Keyboard, Phantom Blue, Windows 11, 32GB SnowBell USB Card",4.5 ,24,1038.00,,15.6 inches,1 TB,32 GB,Windows 11 Home
"Lenovo V15 G2 Business Laptop, 15.6"" IPS FHD Display, Intel Core i7-1165G7 Upto 4.7GHz, 16GB RAM, 1TB NVMe SSD, Webcam, Wi-Fi, USB-C, Windows 11 Pro",,,739.99,,15.6 inches,1 TB,-,Window 11 Pro
"Apple 2022 MacBook Air Laptop with M2 chip: 13.6-inch Liquid Retina Display, 8GB RAM, 512GB SSD Storage, Backlit Keyboard, 1080p FaceTime HD Camera. Works with iPhone and iPad; Midnight",4.8 ,1609,1349.00,1499.00,13.6 inches,512 GB,24.0 GB,Mac OS
"ASUS Vivobook Laptop L210 11.6"" Ultra Thin Laptop, Intel Celeron N4020 Processor, 4GB RAM, 128GB eMMC Storage, Windows 11 Home in S Mode with One Year of Office 365 Personal, L210MA-DS04",4.3 ,8256,189.99,249.99,11.6,128 GB,4 GB,Windows 11 S
"Acer 2023 Newest Aspire 5 15.6"" FHD IPS Slim Laptop, Intel Core i3-1115G4(Up to 4.1GHz), 20GB RAM, 1TB NVMe SSD, WiFi 6, USB, RJ-45, Webcam, Amazon Alexa, Windows 11 S, w/GM Accessories",4.3 ,219,519.00,,15.6 inches,-,20 GB,Windows 11
"VGKE [Windows 11 Home] B15 Windows 11 Laptop with Fingerprint Reader, 15.6"" Full HD 1920 * 1080 IPS, Intel Celeron J4125 Processor, 12GB RAM LPDDR4, 256GB SSD, Backlit Keyboard",4.1 ,223,327.99,,15.6 inches,256 GB,12 GB,Windows 11
"HP 15.6"" Laptop, Intel Core i5-1135G7 Processor, Intel Iris Xe Graphics, 15.6"" FHD Anti-Glare Display, Online Meeting Ready, HDMI, Wi-Fi and Bluetooth, Windows 11 Home(32GB RAM | 1TB SSD)",4.2 ,43,649.98,699.00,15.6 inches,1 TB,-,Windows 11
HP Laptop Touchscreen 17inch Laptop Envy| Intel Core i7-1255U Laptop| Windows11 Pro| Backlit Keyboard| Stylus Pen| Thunderbolt4 USB TypeC| Wi-Fi 6E| Fingerprint (64GB RAM | 2TB PCIe SSD),,,1590.99,,17 inches,2 TB,64.0 GB,Windows 11 Pro
"HP 2023 Newest 15 inch Laptop, Intel Quad-Core Processor, 8GB RAM, 256GB SSD, Wi-Fi, Bluetooth, HDMI, Windows 11 Home, Bundle with JAWFOAL",4.2 ,38,389.99,,15 inches,256 GB,8.0 GB,Windows 11 Home
"BiTECOOL 14-inch Windows 11 Laptop, 12GB RAM, 256GB NVMe SSD, up to 2100MB/S, FHD IPS Display, Intel Celeron N5095 Quad Core, 5G WiFi, BT4.2, Type C and Camera Cover, Lightweight and Portable",4.4 ,92,299.00,319.00,14 inches,256 GB,12.0 GB,Windows 11 Pro
"HP 2022 15.6"" FHD Laptop, AMD Ryzen 5-5500U Processor(Beats Intel i7-1065G7), 12GB RAM, 512GB PCIe SSD, AMD Radeon Graphics, HD Webcam, Bluetooth, Wi-fi, Win 11, Blue, 32GB USB Business Card",4.3 ,97,539.00,,15.6 inches,512 GB,16 GB,Windows 11
"Dell Latitude 7490 Business Laptop, 14"" FHD (1920 x 1080) Laptop, Intel Core i5-8350U 1.7GHz, 16GB DDR4 RAM, 512GB SATA SSD, Webcam, Bluetooth, Windows 10 Pro (Renewed)",4.2 ,126,249.93,267.90,14 inches,512 GB,16 GB,Windows 10 Pro
"2022 Newest HP 14 Laptop, 14in HD IPS Display, AMD Ryzen 3 3250U Processor, Radeon Graphics, 16GB RAM, 1TB SSD, USB Type-C, HDMI, Long Battery Life Up to 10 Hours, Windows 11 + Microfiber Cloth",4.4 ,178,429.00,,14 inches,128 GB,16.0 GB,Windows 11
"HP Newest Envy x360 2-in-1 15.6"" FHD Touchscreen Business Laptop, Intel Core i5-1135G7(Beats i7-1065G7), 16GB 3200MHz RAM, 1TB NVMe SSD, Fingerprint, Webcam, Backlit KB, Win 10 H, GM Accessories",4.4 ,67,799.99,,15.6 inches,1 TB,16.0 GB,Windows 10
"Acer Swift 3 Thin & Light Laptop | 14"" Full HD IPS 100% sRGB Display | AMD Ryzen 7 5700U Octa-Core Processor | 8GB LPDDR4X | 512GB NVMe SSD | WiFi 6 | Backlit KB | FPR | Amazon Alexa | SF314-43-R2YY",4.4 ,705,522.75,,14 inches,64 GB,8 GB,Windows 10 Home
"HP EliteBook 830 G6 13.3"" FHD Laptop, Intel Core i7-8665U up to 3.8GHz, 16GB DDR4 RAM, 512GB SSD, HDMI, Windows 11 Pro 64Bit (Renewed)",,,318.56,344.00,,,,
"Lenovo ThinkPad P51s Mobile Workstation Laptop - Windows 10 Pro, Core i7-7600U, 16GB RAM, 500GB SSD, 15.6-inch FHD 1080p IPS Display, NVIDIA Quadro M520M, Backlit Keyboard, Fingerprint (Renewed)",3.8 ,8,518.99,,15.6 inches,500,16 GB,Windows 10 Pro
"HP Stream 11 Laptop, Intel Celeron N4020, 4 GB RAM, 64 GB Storage, 11.6” HD Anti-Glare Display, Windows 11, Long Battery Life, Thin & Portable, Includes Microsoft 365 (11-ak0040nr, 2021 Diamond White)",4.3 ,1214,229.00,,11.6 inches,0 TB,4 GB,Windows 11 Home
"BiTECOOL Windows 11 Laptop, 15.6 inches Full HD IPS Display, Intel Celeron N4120 Quad Core, 12GB RAM and 256GB SSD Laptop Computer, 2.4/5G WiFi, BT4.2, Full Size Keyboard and Ultra Slim",3.7 ,11,319.00,339.00,15.6 inches,256 GB,12.0 GB,Windows 11
"Lenovo ThinkPad L380 Yoga 2-in-1 Laptop, 13.3"" FHD Touchscreen, Intel Core i5-8250U, 16GB RAM, 256GB SSD, Fingerprint Reader, Backlit Keyboard, Stylus Pen, Windows 10 Pro (Renewed)",3.3 ,9,285.90,299.50,13.3 inches,-,-,Windows 10 Pro
"BiTECOOL Windows 11 Laptop, 2022 New 15.6 inches Full HD IPS Display Pc ",4.2 ,23,279.00,299.00,15.6 inches,256 GB,8.0 GB,Windows 11
"BiTECOOL Windows 11 Laptop, 15.6 inches HD Clear Display, Intel Celeron J4005 Dual Core, 6GB RAM and 256GB SSD Laptop Computer, 2.4G WiFi, BT4.0, Long Lasting Battery, Mic",3.8 ,5,219.00,239.00,15.6 inches,256 GB,6.0 GB,Windows 11
HP 2020 Flagship 14 Chromebook Laptop Computer 14-inch HD SVA Anti-Glare Display Intel Celeron N5000 Processor 4GB DDR4 64GB eMMC WiFi Webcam Chrome OS (Renewed),4.4 ,2441,159.99,199.99,14 inches,64 GB,4 GB,Chrome OS
"HP 2022 Premium 14-inch HD Thin and Light Laptop, Intel Quad-Core Processor, 32GB RAM, 64GB Storage, Long Battery Life, Webcam, Bluetooth, HDMI, Wi-Fi, Rose Gold, Windows 11 + 1 Year Microsoft 365",4.1 ,392,399.00,,14 inches,64 GB,32 GB,Windows 11
"HP 2023 Newest 14 Laptop for Productivity and Entertainment,14"" FHD Display, 8GB RAM, 256GB SSD, AMD Ryzen 3 Processor Upto 3.5GHz, Type-C, HDMI, Fast Charge, 10 Hrs Long Battery Life, Windows 11",4.1 ,10,339.45,,14 inches,256 GB,-,Windows 11
"Lenovo Ideapad 3i Flagship 14"" FHD Laptop for Business and Students Essential, 12GB RAM, 512GB NVMe SSD, Intel Dual Core Processor, Wi-Fi 6, Webcam, HDMI, Dolby Audio, Windows 11 Home, GM Accessories",4.4 ,57,369.00,,14 inches,512 GB,12 GB,Windows 11 S
"2022 Samsung Galaxy Book Odyssey 15.6"" FHD (Intel Core i7-11600H, 32GB RAM, 1TB SSD, RTX 3050 Ti) Mobile Workstaion Business Laptop, Backlit KB, Fingerprint, Type-C, Webcam, IST HDMI, Win 11 pro",,,1299.98,,15.6 inches,1 TB,32 GB,Windows 11 Pro
"HP 2022 Victus Gaming Laptop, 15.6"" FHD 144Hz Display, 12th Gen Intel 8-Core i5-12450H, GeForce GTX 1650, 32GB RAM, 1TB SSD, USB-C, HDMI, RJ45, SD Card Reader, WiFi 6, Backlit Keyboard, Win 11",4.4 ,17,759.99,,15.6 inches,1 TB,32 GB,Windows 11
"Apple 2022 MacBook Pro Laptop with M2 chip: 13-inch Retina Display, 8GB RAM, 512GB ​​​​​​​SSD ​​​​​​​Storage, Touch Bar, Backlit Keyboard, FaceTime HD Camera. Works with iPhone and iPad; Silver",4.7 ,898,1349.00,1499.00,13.3 inches,512 GB,8 GB,Mac OS
"OEM Lenovo ThinkPad E15 Gen 2 15.6"" FHD IPS, AMD Ryzen 7 4700U Octa Core (Beats Intel i7-1255U), 40GB RAM, 1TB NVMe, W10P, Business Laptop",5.0 ,5,859.95,929.95,15.6 inches,1 TB,40 GB,Windows 10 Pro
"HP 2023 Newest 15 inch Laptop, Intel Quad-Core Processor, 8GB RAM, 256GB SSD, Wi-Fi, Bluetooth, HDMI, Windows 11 Home, Bundle with JAWFOAL",4.2 ,38,389.99,,15 inches,256 GB,8.0 GB,Windows 11 Home
"[Win 11 & MS Office 2019] 15.6’’ High-Speed Celeron N5105 Quad Core Processor Laptop Full HD IPS Screen 16GB RAM 512GB SSD Notebook 180°Opening and Closing Dual Band WiFi(16G+512GB SSD, Rose Gold)",3.9 ,30,418.99,,15.6 inches,512 GB,8 GB,Windows 11 Pro
"2022 Newest HP Laptop with Microsoft Office Included 1-Year, 15.6"" HD Screen, AMD Athlon 3050U 16GB RAM 1TB SSD HDMI Port Webcam Gold White Windows 11 | College Student Bundle, ROKC HDMI Cable",4.2 ,154,529.99,,15.6 inches,1000 GB,16.0 GB,Windows 11 Home
"2022 15.6"" HP Pavilion FHD Touchscreen Laptop, AMD Ryzen 7 5700U(8 Cores, Up to 4.3GHz), 64GB DDR4 RAM, 2TB NVMe SSD, Backlit KB, WiFi 6, Webcam, HDMI, AMD Radeon Graphics, Win 10 H w/ Accessories",4.4 ,28,1009.99,,15.6 inches,2 TB,64 GB,Windows 10 Home
"ASUS TUF Gaming A17 (2022) Gaming Laptop, 17.3” 144Hz FHD IPS-Type Display, AMD Ryzen 7 6800H, GeForce RTX 3050 Ti, 16GB DDR5, 512GB PCIe SSD, Wi-Fi 6, Windows 11 Home, Mecha Gray, FA707RE-MS73",4.8 ,6,1239.99,,17.3 inches,512 GB,16 GB,Windows 11 Home
"HP Elitebook 8470p 14 Inch Laptop, Intel Core i5 3320M 2.6G, 8G DDR3,240G SSD,DVD,Windows 10 Pro (Renewedd)",3.9 ,87,223.03,237.15,14 inches,240 GB,8 GB,Windows 10
"HP EliteBook 840 G3 Laptop 14-inch HD Display, Intel Core i5-6200U 2.3Ghz, 256GB SSD, 16GB DDR4 RAM, Webcam, WiFi, Windows 10 Pro (Renewed)",4.1 ,1297,167.09,192.00,14 inches,256 GB,16 GB,Windows 10 Pro
"LG Gram 17Z95P Laptop 17"" Ultra-Lightweight, IPS, (2560 x 1600), Intel Evo 11th gen CORE i7, 16GB RAM, 1TB SSD, Windows 11 Home, 80Wh Battery, Alexa Built-in, 2X USB-C, HDMI, USB-A – Black",4.3 ,56,1099.99,1849.99,17 inches,1 TB,16 GB,Windows 11
"Lenovo IdeaPad 2023 Newest 14"" HD Laptop Computer for Business, Quad Core Intel Pentium N5030 (Upto 3.1GHz), 4GB RAM, 128GB eMMC,WiFi, Webcam, 10+ Hours Battery, Microsoft 365, Win 11S+MarxsolCables",3.6 ,4,229.00,,14 inches,128 GB,4 GB,Windows 11 S
"HP Newest 17 Laptop, 17.3"" HD+ Display, 11th Gen Intel Core i3-1115G4 Processor, 32GB RAM, 1TB PCIe SSD, Webcam, Bluetooth, HDMI, RJ-45, Windows 11 Home, Silver",4.1 ,157,591.95,,17.3 inches,1 TB,32 GB,Windows 11 Home
"HP 2022 Victus 15.6"" FHD 144Hz Gaming Laptop, Intel 12th Core i5-12450H, 32GB RAM, 1TB PCIe SSD, NVIDIA GeForce GTX 1650 Graphics, Backlit Keyboard, Win 11 Pro, Mica Silver, 32GB Snowbell USB Card",4.8 ,11,869.00,,15.6 inches,1 TB,32 GB,Windows 11 Pro
"ECOHERO Windows 11 Laptop, 15.6 inches FHD(1920 x 1080) IPS Display, Intel Core i3-5005U, 12GB RAM and 512GB SSD Laptop Computer, 2.4G/5G WiFi, BT5.0 and RJ45, Full Functional Type C, Space Gray",4.3 ,112,349.00,,15.6 inches,512 GB,12.0 GB,Windows 11 Pro
"BiTECOOL Windows 11 Laptop, 2022 New 15.6 inches Full HD IPS Display Pc Laptops, Intel Celeron J4125 Quad Core, 8GB RAM and 256GB SSD, BT4.2, 2.4/5G WiFi, Full Size Keyboard, Slim",4.2 ,23,279.00,299.00,15.6 inches,256 GB,8.0 GB,Windows 11
"Tulasi Laptop Computer, 2023 Laptop, Windows 11 Laptop 12GB RAM 256GB NVMe SSD Intel 4-Cores N5095 Laptops 14 inch 1080P IPS Display, WiFi 5, Bluetooth, USB Type C, Webcam",4.0 ,19,319.00,,14 inches,256 GB,12.0 GB,Windows 11 Pro
"HP EliteBook 840 G3 Laptop 14-inch HD Display, Intel Core i5-6200U 2.3Ghz, 256GB SSD, 16GB DDR4 RAM, Webcam, WiFi, Windows 10 Pro (Renewed)",4.1 ,1297,167.09,192.00,14 inches,256 GB,16 GB,Windows 10 Pro
